Short Stay,Penguins,Longest rivers,Island,Seaside,Historical,Speaking Spanish,Food,In Europe,Dream Location
No,No,No,No,No,Yes,Yes,Yes,Yes,Spain
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Greece
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Greece
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,No,Yes,No,No,Yes,No,Yes,No,Egypt
No,Yes,No,No,Yes,No,No,Yes,No,Australia
No,No,No,No,No,Yes,Yes,Yes,Yes,Spain
Yes,No,Yes,No,No,Yes,Yes,No,Yes,Spain
No,No,No,No,Yes,Yes,No,Yes,Yes,Greece
No,No,No,Yes,Yes,No,No,No,No,Australia
No,No,Yes,No,No,Yes,No,No,No,Egypt
No,Yes,No,No,Yes,No,No,No,No,Australia
No,Yes,No,No,Yes,No,No,Yes,No,Australia
Yes,No,No,No,No,Yes,No,Yes,Yes,Spain
No,Yes,No,Yes,No,No,No,Yes,No,Australia
No,Yes,No,No,Yes,No,No,No,No,Australia
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Greece
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Argentina
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,No,No,Yes,Yes,No,No,No,No,Australia
Yes,No,No,Yes,No,No,No,Yes,Yes,Greece
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Argentina
No,No,Yes,No,No,Yes,No,Yes,No,Egypt
Yes,No,No,Yes,Yes,Yes,No,No,Yes,Greece
No,No,No,No,Yes,No,No,Yes,Yes,Spain
No,No,No,Yes,Yes,Yes,No,No,Yes,Greece
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
No,No,Yes,No,No,No,No,No,No,Egypt
No,No,No,No,Yes,No,No,Yes,Yes,Spain
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Argentina
No,Yes,Yes,No,No,No,No,Yes,No,Australia
No,Yes,No,No,No,Yes,Yes,Yes,No,Argentina
No,No,Yes,No,No,No,No,Yes,No,Egypt
No,Yes,No,Yes,No,No,No,Yes,No,Australia
Yes,No,No,Yes,No,No,No,No,Yes,Greece
No,Yes,No,No,No,No,Yes,Yes,No,Argentina
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
Yes,No,No,Yes,No,No,No,No,Yes,Greece
Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Greece
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Greece
No,No,No,Yes,No,No,Yes,No,Yes,Greece
No,No,Yes,No,No,No,No,Yes,No,Egypt
Yes,No,Yes,No,No,Yes,No,Yes,No,Egypt
No,No,No,Yes,No,No,No,Yes,Yes,Greece
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,No,No,No,Yes,No,No,Yes,Yes,Spain
No,Yes,No,No,Yes,No,No,Yes,No,Australia
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
No,Yes,No,No,No,No,Yes,Yes,No,Argentina
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,No,Yes,No,No,No,No,Yes,No,Egypt
No,No,Yes,No,No,Yes,No,Yes,No,Egypt
Yes,Yes,No,Yes,No,No,No,Yes,No,Australia
No,Yes,Yes,No,No,No,Yes,Yes,No,Argentina
No,No,No,No,Yes,No,No,No,Yes,Spain
No,No,No,Yes,No,No,No,Yes,Yes,Greece
No,No,Yes,No,No,Yes,No,Yes,No,Egypt
No,No,Yes,No,No,No,No,No,No,Egypt
No,No,Yes,No,Yes,Yes,No,No,No,Egypt
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Greece
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Argentina
No,No,Yes,No,No,Yes,No,Yes,No,Egypt
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Argentina
No,Yes,No,Yes,Yes,No,No,Yes,No,Australia
No,No,No,Yes,Yes,Yes,No,Yes,Yes,Greece
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Argentina
No,No,Yes,No,No,No,No,Yes,No,Egypt
No,No,No,Yes,Yes,Yes,No,Yes,Yes,Greece
No,No,No,No,Yes,Yes,No,Yes,Yes,Greece
No,No,Yes,No,No,No,No,Yes,No,Egypt
No,Yes,Yes,No,No,Yes,Yes,Yes,No,Argentina
No,No,No,No,No,Yes,Yes,Yes,Yes,Spain
No,Yes,No,Yes,Yes,No,No,Yes,No,Australia
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
No,No,No,Yes,Yes,No,No,Yes,No,Australia
No,Yes,No,Yes,Yes,No,No,Yes,No,Australia
No,Yes,No,No,Yes,No,No,No,No,Australia
No,No,No,No,Yes,No,No,Yes,Yes,Spain
No,Yes,No,Yes,No,No,No,Yes,No,Australia
No,No,No,No,Yes,No,No,Yes,Yes,Spain
No,Yes,No,Yes,No,No,No,Yes,No,Australia
No,No,Yes,No,No,Yes,No,No,No,Egypt
Yes,No,No,No,No,Yes,Yes,Yes,Yes,Spain
No,No,Yes,No,No,Yes,No,Yes,No,Egypt
No,No,Yes,Yes,No,Yes,No,Yes,No,Egypt
